full_nomenclature,Capped_SMILES,Code
(S)-N-(1-cyclohexylethyl)glycine,CC(=O)N([C@@H](C)C1CCCCC1)CC(=O)N(C)C,779
(R)-N-(1-cyclohexylethyl)glycine,CC(=O)N([C@H](C)C1CCCCC1)CC(=O)N(C)C,0E9
(S)-N-(2-butyl)glycine,CC(=O)N([C@@H](C)CC)CC(=O)N(C)C,605
(R)-N-(2-butyl)glycine,CC(=O)N([C@H](C)CC)CC(=O)N(C)C,B8A
(S)-N-(1-phenylethyl)glycine,CC(=O)N([C@@H](C)c1ccccc1)CC(=O)N(C)C,73C
(R)-N-(1-phenylethyl)glycine,CC(=O)N([C@H](C)c1ccccc1)CC(=O)N(C)C,B88
N-(phenylmethyl)glycine,CC(=O)N(Cc1ccccc1)CC(=O)N(C)C,496
N-(methoxyethyl)glycine,CC(=O)N(CCOC)CC(=O)N(C)C,B1D
N-(benzoxyethyl)glycine,CC(=O)N(CCOc1ccccc1)CC(=O)N(C)C,B7A
N-(phenyl)glycine,CC(=O)N(c1ccccc1)CC(=O)N(C)C,082
N-(4-hydroxy-3-nitrophenyl)glycine,CC(=O)N(c1cc(N(=O)=O)c(O)cc1)CC(=O)N(C)C,2EA
N-(2-hydroxyphenyl)glycine,CC(=O)N(c1c(O)cccc1)CC(=O)N(C)C,EDE
N-(2-acetamidophenyl)glycine,CC(=O)Nc1ccccc1N(C(=O)C)CC(=O)N(C)C,5CB
N-hydroxyglycine,CC(=O)N(O)CC(=O)N(C)C,271
(S)-N-(1-phenylethyl)beta-alanine,CC(=O)N([C@@H](C)c1ccccc1)CCC(=O)N(C)C,A4B
N-(benzoxyethyl)beta-alanine,CC(=O)N(CCOc1ccccc1)CCC(=O)N(C)C,E91
N-(2-methylphenyl)glycine,CC(=O)N(c1c(C)cccc1)CC(=O)N(C)C,EF6
N-(2-iodophenyl)glycine,CC(=O)N(c1c(I)cccc1)CC(=O)N(C)C,365
N-(2-tert-butylphenyl)glycine,CC(=O)N(c1c(C(C)(C)C)cccc1)CC(=O)N(C)C,D49
(S)-N-(1-naphthylethyl)glycine,CC(=O)N([C@@H](C)c1cccc2ccccc21)CC(=O)N(C)C,3D7
N-(1-naphthyl)glycine,CC(=O)N(c1cccc2ccccc21)CC(=O)N(C)C,547
N-(azidopropyl)glycine,CC(=O)N(CCC[N-][N+]#N)CC(=O)N(C)C,E6C
N-(propargyl)glycine,CC(=O)N(CC#C)CC(=O)N(C)C,1C0
Proline,CC(=O)N1CCC[C@@H]1C(=O)N(C)C,006
